id,salary_in_usd,company_location_id,employee_residence_id,work_setting_id,employment_type_id,job_title_id,job_category_id
81,51031,7,5,3,4,4,4
82,134985,5,4,3,2,2,4
83,98237,5,2,2,2,1,4
84,138426,2,7,1,2,3,1
85,46719,2,7,3,4,3,3
86,39718,6,3,1,1,1,2
87,30056,7,5,1,1,2,3
88,176424,7,3,3,1,1,1
89,151743,1,4,1,3,2,2
90,77820,4,4,1,3,3,1
91,98683,4,1,3,4,1,1
92,99073,4,4,2,1,2,1
93,30721,6,5,2,2,1,4
94,70194,5,6,1,1,1,1
95,109882,5,6,2,3,2,1
96,171983,7,5,3,4,2,3
97,181944,1,3,3,1,4,3
98,103072,3,7,3,3,1,4
99,153919,1,1,1,3,3,3
100,115968,5,6,3,2,1,1
101,137251,6,6,1,1,1,1
102,74537,7,4,1,2,2,1
103,139254,1,7,3,1,1,4
104,177932,7,3,3,4,1,4
105,191815,2,2,1,1,3,4
106,102941,2,1,3,2,2,3
107,193277,3,5,2,2,1,1
108,47645,5,7,1,3,3,2
109,142661,6,3,1,1,4,1
110,101473,2,3,3,1,3,3
111,80734,3,1,3,4,1,1
112,191503,4,1,1,3,3,4
113,157705,7,4,1,2,1,2
114,90914,6,4,1,1,1,1
115,47882,4,5,3,3,2,3
116,120860,4,5,1,4,2,3
117,174051,3,1,2,3,2,1
118,130513,7,1,2,1,3,4
119,148751,3,7,3,1,1,2
120,74828,1,4,1,4,4,1
121,168300,4,3,1,4,3,3
122,150354,7,6,2,4,2,2
123,104217,4,6,1,2,2,3
124,136500,1,6,3,3,1,3
125,103803,5,4,3,3,1,1
126,100908,1,4,3,3,3,3
127,68918,5,1,1,2,3,2
128,171992,7,6,1,3,2,4
129,57785,7,1,2,4,1,1
130,112757,6,4,2,3,4,2
131,186250,1,2,3,2,3,1
132,129490,4,2,1,2,1,3
133,101997,2,5,1,3,1,1
134,139768,4,4,3,2,3,2
135,44052,2,6,3,2,3,2
136,79383,3,2,2,3,2,4
137,161399,7,5,2,2,1,2
138,118301,1,5,3,2,2,2
139,100775,3,4,1,3,1,1
140,105614,4,5,2,4,2,3
141,168110,2,1,3,4,3,2
142,38048,5,1,1,2,3,4
143,44954,7,1,3,1,3,2
144,142010,2,3,1,1,4,3
145,43225,4,1,2,3,3,3
146,135622,6,6,1,3,3,1
147,174603,4,1,1,4,4,3
148,39530,1,4,3,1,1,2
149,54791,3,2,1,3,1,1
150,135806,7,6,2,1,2,3
151,162721,1,2,3,1,3,2
152,174544,2,1,3,2,1,1
153,120721,6,1,3,2,3,4
154,57134,3,1,3,1,1,1
155,173516,7,5,3,4,2,4
156,159326,2,4,3,3,3,2
157,68217,7,4,3,3,2,1
158,183138,7,4,2,4,4,4
159,161067,5,2,2,2,1,3
160,66189,5,6,3,2,4,1
161,148903,6,6,1,4,4,2
162,196561,3,3,3,4,3,3
163,57284,5,2,3,2,1,4
164,54698,2,4,3,1,4,1
165,49637,5,7,1,2,3,1
166,90405,6,3,2,1,4,2
167,91305,6,1,1,3,3,3
168,63556,1,5,1,3,3,1
169,112176,1,2,1,1,4,4
170,150644,1,5,1,1,2,3
171,127012,6,3,3,2,3,1
172,33654,7,6,2,4,3,3
173,70428,4,7,1,1,3,3
174,159814,3,3,2,3,4,3
175,199108,1,2,3,2,1,2
176,125379,3,4,3,3,1,3
177,95355,5,1,2,2,3,3
178,76257,7,4,3,4,3,3
179,143435,3,4,2,4,1,4
180,135866,1,2,1,3,3,3
181,177059,1,4,3,1,3,3
182,181882,6,4,3,1,2,4
183,50311,7,2,2,3,2,4
184,142695,7,2,3,1,3,1
185,84478,2,7,1,1,2,3
186,195992,7,4,3,3,4,4
187,38738,4,3,3,3,3,2
188,103424,4,6,3,4,3,1
189,92232,1,1,2,3,3,1
190,138400,5,5,1,4,1,3
191,35474,7,1,1,4,3,3
192,89026,4,2,3,2,1,1
193,96024,6,5,3,1,3,2
194,80974,4,2,2,3,2,3
195,185216,6,6,1,1,3,3
196,35622,2,6,3,2,4,1
197,127366,5,7,1,3,3,1
198,69214,6,4,3,3,3,3
199,123184,5,2,3,2,1,4
200,128233,7,6,2,1,2,3
201,186295,2,2,1,4,1,4
202,51865,5,1,1,2,1,1
203,73026,5,4,3,2,2,4
204,119037,6,7,3,3,4,2
205,187938,3,6,2,4,1,1
206,173488,2,2,3,2,1,3
207,55775,5,2,1,1,3,3
208,190152,3,2,2,2,2,1
209,49374,3,1,1,1,3,1
210,88451,5,6,2,3,4,2
211,112141,6,2,1,2,4,4
212,45684,7,2,3,1,2,3
213,54002,3,1,1,3,3,2
214,121551,3,2,1,3,3,3
215,160704,2,4,2,3,2,4
216,184044,7,4,1,2,3,1
217,36309,6,1,3,3,4,4
218,114675,7,4,2,3,4,3
219,98326,3,5,2,1,3,4
220,37826,6,5,1,3,2,3
221,173206,2,5,2,2,1,3
222,180765,2,7,3,4,1,1
223,151840,2,2,1,3,3,1
224,165126,2,7,3,2,3,4
225,177162,1,4,1,3,3,2
226,135985,6,1,1,2,3,2
227,45569,5,5,2,3,3,3
228,193299,3,1,2,1,1,1
229,36508,3,7,2,4,3,3
230,177680,3,4,1,4,3,3
231,119059,7,6,2,2,3,3
232,127475,6,2,3,2,3,1
233,160447,7,6,2,4,2,1
234,160819,2,4,3,1,3,4
235,140648,5,5,2,1,1,1
236,54520,6,4,1,3,2,3
237,60932,7,1,2,1,4,3
238,49734,4,3,3,4,3,3
239,99363,6,5,3,4,1,3
240,80555,3,6,2,1,2,4
241,46257,3,2,3,1,3,3
242,193266,1,5,1,4,3,2
243,177865,1,5,2,4,3,1
244,195756,4,2,3,4,4,3
245,123550,1,6,2,4,3,2
246,83219,5,5,2,4,2,4
247,163931,2,1,2,1,2,3
248,69840,2,4,2,1,3,3
249,127392,6,1,2,3,2,3
250,89327,3,4,1,3,3,4
251,143827,2,3,2,2,3,2
252,64819,1,5,1,3,3,4
253,115621,4,3,2,1,3,3
254,131272,5,7,3,3,1,1
255,71704,2,6,2,3,3,3
256,90379,3,4,2,1,2,1
257,185390,3,1,3,4,3,1
258,110987,5,1,1,1,1,4
259,141561,1,5,1,1,3,2
260,35274,2,1,1,2,3,4
261,179298,1,7,1,2,4,3
262,126462,3,2,3,2,4,2
263,49046,4,1,1,4,3,1
264,104210,2,5,1,3,4,1
265,148724,6,3,1,2,3,3
266,182982,4,6,1,1,2,2
267,172575,5,1,1,2,3,3
268,78392,2,1,2,1,4,3
269,91472,3,1,2,4,2,4
270,100904,2,5,1,2,4,3
271,119063,3,6,3,1,3,2
272,75335,7,2,3,3,1,3
273,52487,3,1,2,4,3,2
274,66593,3,2,3,1,4,1
275,105927,5,2,2,3,3,3
276,39874,2,6,1,3,2,2
277,84822,4,6,1,1,4,1
278,83948,3,7,3,2,4,2
279,33608,2,3,3,3,3,1
280,125987,3,1,3,4,3,3
281,135182,1,1,1,3,1,3
282,57546,1,1,1,2,2,3
283,145999,1,2,3,4,3,1
284,130804,1,6,3,4,2,4
285,92496,4,4,3,4,4,2
286,85186,5,3,3,1,3,4
287,166302,3,5,2,3,3,2
288,55720,1,1,3,2,1,1
289,73023,2,4,3,1,3,3
290,198674,1,4,2,1,4,1
291,97082,7,6,2,4,1,1
292,45050,7,4,2,1,3,3
293,143353,5,3,2,3,3,3
294,82164,4,4,3,1,1,2
295,158470,6,5,1,1,4,3
296,60134,7,1,1,4,2,2
297,176712,2,5,1,4,2,3
298,44284,1,1,1,1,4,4
299,90526,7,7,1,4,4,2
300,164495,7,2,1,2,2,4
301,58577,4,4,2,2,1,3
302,151867,7,5,2,2,2,3
303,148247,1,2,1,1,4,3
304,88900,5,2,3,3,3,3
305,114606,6,2,3,3,3,4
306,36066,5,2,1,4,3,4
307,134342,5,2,3,3,3,4
308,38583,6,1,2,3,4,4
309,68057,3,3,2,1,2,3
310,183676,1,4,3,4,1,2
311,56564,7,4,1,3,3,1
312,91429,7,1,2,2,2,4
313,128600,6,5,3,4,1,2
314,118393,7,1,3,4,3,4
315,145774,4,6,2,4,1,3
316,58941,2,2,2,2,2,3
317,67962,1,3,1,3,3,2
318,199645,5,4,3,2,2,2
319,151410,7,5,1,4,4,2
320,186764,6,7,2,4,1,3
321,88420,3,1,3,1,3,3
322,112415,4,7,2,1,1,1
323,196835,2,4,2,1,1,2
324,112013,7,1,2,1,3,1
325,149012,5,4,1,4,4,4
326,167465,1,1,2,2,1,1
327,150198,3,5,1,1,2,4
328,63488,5,4,2,2,2,4
329,182531,4,6,2,1,3,1
330,173626,1,7,3,3,4,2
331,198939,6,3,2,1,4,4
332,132330,1,5,3,2,2,2
333,35057,4,6,3,1,3,3
334,113026,6,5,1,3,3,3
335,35305,1,1,3,2,3,3
336,91276,6,7,3,2,2,1
337,193812,6,4,2,2,2,2
338,185190,3,7,2,4,3,1
339,167746,3,5,1,2,3,4
340,120534,6,1,3,4,4,3
341,176388,1,7,3,3,3,4
342,177289,7,6,1,2,3,1
343,141045,1,4,2,2,2,2
344,175674,7,2,3,2,4,2
345,117181,1,5,1,3,3,4
346,140907,5,3,2,4,4,4
347,43987,2,3,1,1,4,3
348,79915,3,5,1,3,2,1
349,43543,1,2,3,3,4,4
350,57944,3,1,2,3,3,3
351,170216,4,7,3,4,3,3
352,139418,2,7,3,4,1,2
353,68459,7,2,2,4,2,3
354,60741,4,6,2,4,1,3
355,156077,2,2,2,4,3,3
356,104627,4,4,3,2,1,1
357,143372,3,4,2,1,2,2
358,99741,5,3,2,1,2,1
359,99177,2,1,2,4,4,3
360,33543,4,1,1,4,3,1
361,166663,7,6,2,2,4,3
362,86395,2,2,3,4,2,1
363,59055,2,3,1,2,3,4
364,36116,4,3,3,2,3,1
365,85485,5,4,1,3,4,3
366,163479,6,7,2,3,2,2
367,192666,6,6,1,4,3,2
368,96421,6,1,3,2,2,3
369,65411,6,6,1,4,3,3
370,154115,1,3,2,3,2,1
371,129772,7,4,2,3,1,2
372,120121,7,4,3,3,2,2
373,153671,6,4,1,3,2,2
374,141670,4,6,3,3,4,4
375,187310,5,7,3,4,1,3
376,134627,3,3,3,4,3,3
377,196268,3,2,2,3,4,3
378,42738,6,2,1,4,3,3
379,144183,1,4,2,3,3,3
380,45772,1,4,2,3,3,4
381,95270,4,7,2,3,2,1
382,184564,5,4,1,4,3,4
383,84979,3,5,2,4,4,2
384,143585,7,3,2,2,4,4
385,197927,5,4,2,4,3,3
386,167300,3,4,1,4,4,4
387,181117,5,3,1,1,4,3
388,54318,4,1,3,3,3,3
389,88458,3,5,2,3,1,3
390,174867,2,5,2,4,1,2
391,135856,6,2,1,4,3,3
392,115184,4,4,1,2,4,4
393,158789,2,3,2,1,3,2
394,51747,5,2,3,3,4,4
395,192632,4,6,3,3,2,2
396,41282,7,6,2,4,4,1
397,194903,4,7,3,4,4,1
398,93073,4,6,3,1,1,1
399,184115,6,6,2,3,3,4
400,82900,4,1,3,1,4,4
401,50929,4,4,1,3,1,2
402,65500,1,1,2,4,3,2
403,31872,2,4,1,1,1,2
404,198560,4,4,2,2,1,2
405,97505,4,4,1,4,1,3
406,55460,5,1,3,2,4,1
407,42155,1,5,1,2,4,3
408,172942,3,7,1,2,3,3
409,145006,5,5,1,3,2,3
410,123928,5,3,1,2,2,3
411,164789,6,3,1,3,2,3
412,156075,6,6,2,1,3,3
413,162446,1,5,1,4,2,2
414,182898,1,7,1,3,2,4
415,145138,6,6,2,3,1,1
416,174499,1,7,2,1,4,4
417,94442,5,4,3,1,4,4
418,195780,5,4,1,4,1,2
419,130671,6,3,1,1,1,4
420,185343,4,4,3,3,1,1
421,46631,1,6,1,4,4,3
422,49887,1,4,3,4,2,2
423,55259,6,7,2,4,1,1
424,127932,5,1,1,2,3,3
425,87987,5,5,1,2,1,1
426,49144,1,2,2,3,3,1
427,181908,4,2,1,2,1,1
428,74456,7,4,2,1,4,2
429,197452,7,4,2,4,1,1
430,150250,3,5,3,3,3,3
431,107735,4,2,2,1,3,2
432,41569,5,7,3,4,2,2
433,155294,1,2,2,1,1,3
434,192254,6,2,3,2,3,4
435,182721,1,6,3,1,3,2
436,113731,1,2,3,2,3,4
437,126132,7,4,3,1,4,4
438,130497,6,6,1,3,1,1
439,57003,5,4,2,2,3,2
440,177623,6,5,2,2,3,2
441,144432,1,2,2,4,2,2
442,184898,1,4,2,2,3,4
443,132486,7,5,3,4,3,3
444,185801,1,2,1,2,4,4
445,164940,6,7,2,2,4,2
446,71274,3,4,2,2,3,2
447,68718,5,1,2,2,3,2
448,193425,6,5,3,4,1,4
449,71682,2,4,2,3,3,2
450,60653,6,7,2,1,3,1
451,175213,6,7,1,2,1,2
452,172609,3,4,3,2,1,3
453,60401,4,3,1,3,3,1
454,188459,6,5,2,4,4,2
455,111690,3,2,3,1,3,1
456,130613,3,2,2,3,3,2
457,167702,6,7,2,3,4,3
458,74293,6,4,3,3,3,2
459,184142,7,3,1,3,3,1
460,43416,4,5,3,2,3,3
461,146711,6,1,3,1,3,4
462,145037,5,2,1,2,1,3
463,120935,6,6,3,3,4,3
464,169701,5,5,1,1,3,3
465,38360,3,5,1,3,2,1
466,42011,2,3,3,4,4,4
467,70721,3,5,3,3,3,2
468,66069,1,2,1,3,1,3
469,83270,7,4,1,4,3,3
470,41227,1,2,1,2,3,2
471,69587,4,1,1,1,4,2
472,91720,4,4,1,3,3,3
473,98305,7,7,3,3,3,3
474,106028,3,3,2,4,3,1
475,83651,4,2,3,1,1,3
476,81332,2,4,2,4,1,3
477,98201,6,5,1,3,2,2
478,185879,7,4,3,2,1,4
479,73552,1,2,2,2,3,3
480,153938,2,7,1,1,1,1
481,147230,6,2,3,3,4,3
482,123758,6,7,2,4,1,1
483,87300,5,5,3,3,3,2
484,56951,7,2,2,4,4,4
485,50264,2,4,3,4,2,3
486,49121,6,1,3,1,3,3
487,114351,7,1,2,4,3,3
488,80539,1,5,3,1,3,1
489,191383,3,6,3,2,3,4
490,180821,7,6,1,1,3,3
491,59218,4,4,2,1,3,2
492,74867,1,1,3,1,3,3
493,31316,1,5,2,2,4,4
494,67972,2,7,3,1,4,3
495,116924,4,4,2,4,3,4
496,122700,2,6,2,4,1,3
497,159079,5,7,1,1,3,1
498,134082,1,4,1,4,2,3
499,169151,7,7,2,1,4,1
500,90887,5,7,3,2,3,4
501,183484,4,1,2,4,4,4
502,65862,1,4,3,1,3,3
503,157677,6,2,2,3,2,1
504,175893,4,1,1,2,2,3
505,103118,5,7,1,3,4,1
506,104548,7,7,3,1,3,3
507,194727,3,6,2,4,2,3
508,134319,2,2,3,1,3,3
509,110066,6,6,1,4,3,1
510,75221,2,2,2,1,3,2
511,117189,5,7,1,1,4,1
512,135812,1,2,1,4,2,2
513,122326,1,3,2,4,4,1
514,169972,7,6,3,1,3,4
515,194557,1,6,2,3,2,3
516,43891,1,1,1,2,4,1
517,138640,1,4,1,3,1,4
518,176086,4,6,1,3,3,1
519,102083,4,2,1,3,3,3
520,67964,3,2,3,3,1,1
521,74739,4,3,2,4,3,2
522,146871,6,4,2,3,2,3
523,115799,6,3,3,2,3,2
524,69459,2,4,3,4,1,4
525,37045,6,6,1,3,1,4
526,73255,5,6,2,4,3,1
527,81965,3,1,2,3,3,2
528,31237,1,2,2,3,4,2
529,160811,2,1,3,2,3,3
530,82195,3,4,1,4,4,2
531,147775,5,2,1,4,1,1
532,66326,3,6,2,1,2,3
533,166365,2,3,1,3,2,3
534,55274,3,6,3,3,3,2
535,180309,2,6,3,2,2,1
536,123920,3,7,2,2,2,3
537,126529,3,3,1,4,2,3
538,179301,6,7,3,2,1,2
539,108847,3,3,3,4,2,3
540,86718,2,4,3,3,2,3
541,98718,3,1,3,3,2,2
542,79615,6,7,1,4,4,3
543,148548,5,4,3,2,1,1
544,101296,5,1,3,2,3,1
545,102796,4,1,1,4,4,4
546,162987,4,2,2,3,3,3
547,104651,4,6,2,4,1,4
548,37076,4,2,3,2,1,4
549,110350,4,6,2,4,3,2
550,194155,5,2,1,3,3,2
551,83918,1,7,3,1,3,3
552,165865,3,7,1,4,3,3
553,80528,5,6,2,1,2,4
554,147503,5,1,2,4,1,1
555,96798,7,7,3,2,2,3
556,39319,1,1,2,2,2,3
557,174266,2,4,3,1,3,1
558,180381,6,3,3,4,3,2
559,56998,1,1,1,2,4,3
560,33468,7,1,2,1,3,3
561,142178,5,4,2,1,2,2
562,173723,1,6,3,4,3,3
563,181477,3,2,3,2,3,4
564,175554,4,5,3,1,4,1
565,34409,3,6,3,3,3,3
566,96083,1,2,1,3,4,4
567,115443,5,2,2,2,2,1
568,53426,5,6,1,2,4,1
569,138025,7,6,2,3,4,1
570,84757,2,1,1,1,4,4
571,175508,3,1,3,4,3,4
572,46490,7,7,1,1,3,3
573,82136,2,7,1,2,2,3
574,190034,4,3,3,2,4,1
575,190360,3,3,3,4,1,1
576,52236,5,5,2,1,2,4
577,175995,3,6,2,4,4,4
578,174336,5,7,1,1,4,4
579,97147,5,6,1,1,3,3
580,37928,4,1,1,3,2,2
581,195630,4,4,3,1,4,3
582,86369,1,7,2,2,4,4
583,96403,2,1,1,2,2,1
584,127225,7,6,2,2,1,2
585,75213,6,7,2,3,2,3
586,128631,6,2,3,4,2,3
587,33816,4,7,3,2,1,4
588,128162,1,6,1,2,2,2
589,196988,2,6,1,4,4,3
590,77838,2,5,1,3,2,3
591,172645,3,6,1,1,1,4
592,95364,1,2,1,4,3,2
593,174229,1,1,2,1,2,3
594,39322,3,2,2,1,3,3
595,149024,6,7,3,1,4,2
596,32482,7,2,3,4,4,4
597,65867,6,5,2,4,3,2
598,109211,4,4,3,1,3,2
599,125956,5,2,3,3,2,4
600,138052,3,6,1,3,3,3
601,109386,4,5,3,3,3,1
602,36732,5,2,3,2,1,4
603,64422,1,3,3,1,3,1
604,106964,6,4,2,2,3,3
605,86284,3,1,2,3,3,2
606,158575,5,6,1,4,4,1
607,41311,7,5,3,3,4,3
608,159507,4,2,2,2,2,3
609,106000,6,4,1,2,3,2
610,158259,4,1,3,3,1,2
611,75311,4,4,1,1,1,3
612,40300,1,5,1,4,3,3
613,95375,6,3,3,4,1,1
614,64563,5,5,2,3,4,3
615,151227,4,5,3,1,1,3
616,109244,2,1,3,1,1,1
617,158161,6,1,3,3,3,4
618,155307,4,2,2,4,3,1
619,189162,1,7,3,4,1,1
620,144687,3,5,2,4,3,2
621,46328,4,1,1,1,3,1
622,187726,4,5,2,3,2,3
623,167286,3,5,1,1,2,3
624,199985,5,1,1,4,4,3
625,188624,5,3,3,1,1,4
626,65377,2,3,2,4,3,3
627,186806,1,5,1,3,4,4
628,120257,3,3,1,4,1,3
629,48610,1,5,2,2,3,1
630,189947,5,2,2,2,2,2
631,85082,3,1,1,3,3,3
632,53226,7,5,1,1,2,4
633,57677,2,3,2,1,3,4
634,171370,7,3,2,1,1,1
635,65848,5,4,1,4,3,3
636,129291,6,4,3,2,3,1
637,154227,3,6,2,3,2,3
638,93654,5,3,1,1,3,3
639,47744,3,6,1,1,3,2
640,184506,1,6,3,3,2,3
641,135850,3,6,2,4,3,1
642,78001,5,2,1,1,1,4
643,89633,1,7,3,4,1,1
644,78917,1,5,2,4,4,1
645,109804,3,4,3,4,2,4
646,30907,1,5,1,1,3,2
647,121295,5,4,3,1,3,2
648,174836,6,1,1,3,1,4
649,185481,2,1,1,3,3,4
650,169462,7,3,3,4,2,1
651,60172,3,1,3,1,4,3
652,153936,1,1,1,4,1,3
653,133512,1,7,3,3,3,3
654,78196,5,6,2,4,3,3
655,98901,1,2,2,2,3,3
656,186908,1,3,3,4,2,3
657,182735,2,7,3,1,2,2
658,167023,6,3,2,4,2,3
659,45175,3,2,1,4,3,1
660,172099,3,3,1,1,3,1
661,137809,5,5,2,2,1,2
662,105630,2,5,1,1,2,1
663,118617,2,5,3,3,2,1
664,173239,2,1,3,2,3,2
665,184132,3,2,2,2,2,1
666,157310,6,7,2,1,3,3
667,96556,4,7,2,4,3,4
668,132148,5,4,2,3,2,1
669,40485,5,7,1,3,3,4
670,133746,7,6,1,2,3,1
671,136255,2,5,1,3,3,3
672,38802,2,6,3,2,4,3
673,63314,3,6,3,2,2,2
674,49565,6,5,2,3,3,4
675,123153,5,4,2,2,3,2
676,121145,3,1,1,4,1,3
677,74233,6,7,1,2,1,1
678,78384,7,2,1,4,3,3
679,108253,1,4,2,4,1,2
680,67669,3,7,1,4,1,3
681,187344,6,1,2,3,4,1
682,172914,6,6,2,4,3,3
683,94099,7,2,3,3,3,1
684,134012,6,2,3,1,4,4
685,163154,3,6,2,4,4,1
686,154878,3,1,1,2,1,1
687,187333,3,7,2,1,2,3
688,39795,4,6,2,1,1,3
689,75309,6,3,2,4,4,1
690,50180,4,7,2,3,3,1
691,76335,2,6,3,1,1,3
692,122887,4,6,3,4,2,3
693,194340,7,4,2,1,1,2
694,185561,3,4,3,1,3,2
695,152352,4,7,3,4,1,3
696,132267,5,5,1,2,4,2
697,107402,3,4,3,2,3,3
698,140551,1,3,3,2,3,3
699,131010,2,5,2,1,4,3
700,110808,4,3,3,3,3,3
701,150823,5,2,3,3,4,4
702,193233,6,4,3,1,1,1
703,150469,5,6,2,1,4,1
704,101922,3,5,2,4,4,4
705,100874,1,7,3,3,3,2
706,147253,2,5,2,1,1,1
707,90361,2,6,2,2,2,1
708,103836,1,2,1,3,2,2
709,182472,4,3,3,1,3,1
710,54641,4,2,1,4,4,1
711,99833,3,1,3,4,3,4
712,180404,7,4,3,3,3,3
713,150899,3,7,1,2,2,4
714,143398,3,3,1,3,4,1
715,176273,6,2,3,1,3,1
716,76129,3,7,1,2,3,1
717,63808,6,4,1,1,4,3
718,108346,1,6,2,2,3,3
719,103524,2,7,3,2,4,3
720,86625,2,4,2,1,4,4
721,70327,7,4,3,3,1,1
722,180651,4,4,2,4,3,3
723,51483,3,2,3,2,3,4
724,161575,1,6,2,2,3,4
725,100880,1,4,3,4,1,1
726,38947,3,7,2,3,1,2
727,170605,1,6,1,4,1,1
728,70916,1,1,3,3,2,3
729,155468,6,7,1,2,2,1
730,37012,3,2,2,2,2,1
731,45213,7,4,3,1,4,4
732,188635,1,6,2,3,3,3
733,176284,2,1,2,4,3,4
734,125660,5,2,1,3,4,4
735,90188,2,3,3,3,3,3
736,76576,6,3,2,3,3,3
737,40711,6,3,1,3,1,1
738,39515,5,1,1,4,1,4
739,181265,5,6,1,1,4,2
740,163496,2,7,1,2,1,1
741,74344,3,1,2,4,3,3
742,89595,5,6,2,4,1,2
743,39200,2,1,2,2,2,3
744,184103,4,6,3,1,1,4
745,164288,1,1,3,4,3,2
746,30016,6,3,1,2,4,3
747,132974,7,5,2,1,3,4
748,187450,5,6,1,1,1,2
749,130927,2,6,2,3,3,4
750,192806,3,6,3,4,3,2
751,108886,6,7,1,1,3,1
752,144817,5,5,2,4,2,1
753,175522,7,5,2,2,3,3
754,162545,6,1,2,4,3,1
755,55525,3,7,1,1,3,1
756,189644,7,5,3,2,1,1
757,72028,7,4,2,2,1,2
758,198151,1,1,1,3,1,2
759,82047,5,1,2,2,3,4
760,60110,5,1,1,1,3,2
761,131040,5,4,3,3,2,1
762,149786,7,4,2,1,1,2
763,122424,4,3,1,1,4,3
764,163018,4,2,2,3,2,3
765,183015,6,7,1,3,4,4
766,45740,4,2,3,4,3,2
767,144988,6,1,3,1,2,1
768,104712,3,5,1,4,2,4
769,125402,1,1,3,2,3,3
770,67269,3,5,2,2,3,3
771,68682,5,3,3,4,3,4
772,150359,5,6,2,3,2,1
773,185673,2,2,3,2,3,1
774,62850,5,6,3,3,2,2
775,71132,4,6,2,4,3,2
776,166876,1,1,3,3,2,4
777,115061,4,2,2,1,3,2
778,82034,1,3,2,2,3,2
779,75061,3,2,3,3,2,2
780,188491,5,5,3,3,2,3
781,184818,3,7,2,1,2,2
782,108348,4,6,1,3,1,4
783,186408,7,3,3,4,3,1
784,144892,1,2,3,4,3,2
785,75952,5,1,1,4,1,1
786,125996,2,4,1,2,2,2
787,155982,6,4,3,3,3,4
788,89379,7,3,3,2,2,3
789,195392,3,4,3,2,2,4
790,136120,1,7,1,3,1,3
791,157852,7,3,3,3,3,2
792,128111,6,1,1,4,2,2
793,66516,2,1,1,2,3,3
794,101114,7,3,2,2,4,4
795,152078,2,4,1,3,3,3
796,159657,3,4,2,2,3,3
797,91240,1,1,1,1,3,2
798,71798,3,7,1,3,2,3
799,148371,1,5,2,4,3,2
800,96473,7,4,2,1,2,3
801,155811,3,7,2,1,1,2
802,161496,1,6,2,4,3,3
803,139806,5,4,2,1,2,1
804,164123,2,5,2,1,1,2
805,131209,1,3,2,1,2,4
806,126878,5,2,1,2,3,3
807,107774,3,1,1,1,3,4
808,57786,3,3,2,1,3,3
809,125204,7,4,3,3,3,4
810,162339,2,5,2,4,4,4
811,49650,1,1,3,2,1,3
812,37017,3,2,1,2,1,1
813,170921,1,2,1,4,3,3
814,92453,4,5,3,2,4,4
815,97762,2,5,1,2,3,4
816,165460,2,4,2,2,4,2
817,97958,5,1,3,3,3,2
